rr:tableName,uri,dcterms:source,skos:prefLabel,skos:definition
event-media,http://rs.gbif.org/data-packages/dwc-dp/event-media,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event-media.json,EventMedia,A link establishing a dwc:Event as content in a Media entity.
event-protocol,http://rs.gbif.org/data-packages/dwc-dp/event-protocol,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event-protocol.json,EventProtocol,A link establishing a Protocol used in a dwc:Event.
event,http://rs.gbif.org/data-packages/dwc-dp/event,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event.json,Event,Something that occurs at some location during some time.
genetic-sequence-agent-role,http://rs.gbif.org/data-packages/dwc-dp/genetic-sequence-agent-role,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/genetic-sequence-agent-role.json,GeneticSequenceAgentRole,A role filled by an Agent with respect to a GeneticSequence.
genetic-sequence-assertion,http://rs.gbif.org/data-packages/dwc-dp/genetic-sequence-assertion,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/genetic-sequence-assertion.json,GeneticSequenceAssertion,An Assertion made by an Agent about a GeneticSequence.
genetic-sequence-citation,http://rs.gbif.org/data-packages/dwc-dp/genetic-sequence-citation,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/genetic-sequence-citation.json,GeneticSequenceCitation,A citation of a GeneticSequence in a bibliographic reference.
genetic-sequence-media,http://rs.gbif.org/data-packages/dwc-dp/genetic-sequence-media,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/genetic-sequence-media.json,GeneticSequenceMedia,A link establishing a GeneticSequence as content in a Media entity.
genetic-sequence-protocol,http://rs.gbif.org/data-packages/dwc-dp/genetic-sequence-protocol,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/genetic-sequence-protocol.json,GeneticSequenceProtocol,A link establishing a Protocol used in the determination of a GeneticSequence.
genetic-sequence,http://rs.gbif.org/data-packages/dwc-dp/genetic-sequence,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/genetic-sequence.json,GeneticSequence,A digital representation of a nucleotide sequence.
geological-context-media,http://rs.gbif.org/data-packages/dwc-dp/geological-context-media,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/geological-context-media.json,GeologicalContextMedia,A link establishing a dwc:GeologicalContext as content of a Media entity.
geological-context,http://rs.gbif.org/data-packages/dwc-dp/geological-context,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/geological-context.json,GeologicalContext,"Geological information, such as stratigraphy, that qualifies a region or place."
identification-agent-role,http://rs.gbif.org/data-packages/dwc-dp/identification-agent-role,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/identification-agent-role.json,IdentificationAgentRole,A role filled by an Agent with respect to a dwc:Identification.
identification-taxon,http://rs.gbif.org/data-packages/dwc-dp/identification-taxon,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/identification-taxon.json,IdentificationTaxon,The components and positions of dwc:scientificNames in dwc:Identifications.
identification,http://rs.gbif.org/data-packages/dwc-dp/identification,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/identification.json,Identification,"A taxonomic determination (i.e., the assignment of dwc:Taxa to dwc:Organisms)."
material-agent-role,http://rs.gbif.org/data-packages/dwc-dp/material-agent-role,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material-agent-role.json,MaterialAgentRole,A role filled by an Agent with respect to a dwc:MaterialEntity.
material-assertion,http://rs.gbif.org/data-packages/dwc-dp/material-assertion,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material-assertion.json,MaterialAssertion,An Assertion made by an Agent about a dwc:Event.
material-citation,http://rs.gbif.org/data-packages/dwc-dp/material-citation,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material-citation.json,MaterialCitation,A citation of a dwc:MaterialEntity in a bibliographic reference.
material-identifier,http://rs.gbif.org/data-packages/dwc-dp/material-identifier,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material-identifier.json,MaterialIdentifier,An identifier for a dwc:MaterialEntity.
